ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
13278080,JG500620,11/11/23 0:00,038XX W MADISON ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,FALSE,1122,011,28,26,07,1150898,1899740,2023,11/18/2023 03:40:25 PM,41.88077908,-87.72137703,"(41.880779076, -87.721377025)"
13272487,JG498648,11/10/23 5:30,019XX N AUSTIN AVE,0810,THEFT,OVER $500,PARKING LOT / GARAGE (NON RESIDENTIAL),FALSE,FALSE,2513,025,29,25,06,1136098,1912178,2023,11/18/2023 03:40:25 PM,41.91518726,-87.77542523,"(41.915187259, -87.775425225)"
13279067,JG506481,11/03/23 12:00,006XX W GRACE ST,1156,DECEPTIVE PRACTICE,ATTEMPT - FINANCIAL IDENTITY THEFT,APARTMENT,FALSE,FALSE,1925,019,46,6,11,1171140,1925861,2023,11/18/2023 03:39:49 PM,41.95203631,-87.64628188,"(41.952036311, -87.646281883)"
13276884,JG503649,11/10/23 17:30,043XX W AUGUSTA BLVD,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,FALSE,1111,011,37,23,07,1147361,1906313,2023,11/18/2023 03:40:25 PM,41.89888459,-87.7341962,"(41.898884591, -87.734196199)"
13273309,JG499633,11/10/23 20:28,107XX S AVENUE H,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,FALSE,0432,004,10,52,07,1202847,1834277,2023,11/18/2023 03:40:25 PM,41.69997111,-87.53286642,"(41.699971107, -87.532866422)"
13272745,JG498891,11/10/23 12:15,009XX N FRANCISCO AVE,031A,ROBBERY,ARMED - HANDGUN,STREET,FALSE,FALSE,1211,012,26,24,03,1156878,1906242,2023,11/18/2023 03:40:25 PM,41.89850206,-87.69924242,"(41.89850206, -87.69924242)"
13272632,JG498834,11/10/23 11:00,010XX W 103RD PL,0560,ASSAULT,SIMPLE,APARTMENT,FALSE,TRUE,2232,022,21,73,08A,1171286,1836186,2023,11/18/2023 03:40:25 PM,41.70595655,-87.64837349,"(41.705956552, -87.648373487)"
11662417,JC232642,04/21/2019 12:30:00 PM,009XX E 80TH ST,031A,ROBBERY,ARMED - HANDGUN,RESIDENCE,FALSE,FALSE,0631,006,8,44,03,1184044,1852159,2019,09/14/2023 03:41:59 PM,41.74950033,-87.6011574,"(41.749500329, -87.6011574)"
12218064,JD426642,10/30/2020 04:30:00 PM,011XX E 82ND ST,0266,CRIMINAL SEXUAL ASSAULT,PREDATORY,RESIDENCE,TRUE,TRUE,0411,004,8,45,02,1185144,1850850,2020,09/14/2023 03:41:59 PM,41.74588254,-87.59716764,"(41.745882542, -87.597167639)"
12342615,JE202211,04/17/2021 03:20:00 PM,081XX S PRAIRIE AVE,0325,ROBBERY,VEHICULAR HIJACKING,RESIDENCE,TRUE,FALSE,0631,006,6,44,03,1179448,1851073,2021,09/14/2023 03:41:59 PM,41.74662631,-87.61803195,"(41.746626309, -87.618031954)"
12416972,JE293535,10/01/20 0:01,031XX W 53RD PL,1753,OFFENSE INVOLVING CHILDREN,SEXUAL ASSAULT OF CHILD BY FAMILY MEMBER,RESIDENCE,FALSE,TRUE,0923,009,14,63,02,,,2020,09/14/2023 03:41:59 PM,,,
12416974,JE293464,08/10/11 0:01,031XX W 53RD PL,1753,OFFENSE INVOLVING CHILDREN,SEXUAL ASSAULT OF CHILD BY FAMILY MEMBER,RESIDENCE,FALSE,TRUE,0923,009,14,63,02,,,2011,09/14/2023 03:41:59 PM,,,
12536164,JE439378,09/24/2015 12:00:00 AM,031XX W 53RD PL,1753,OFFENSE INVOLVING CHILDREN,SEXUAL ASSAULT OF CHILD BY FAMILY MEMBER,APARTMENT,FALSE,TRUE,0923,009,14,63,02,,,2015,09/14/2023 03:41:59 PM,,,
12536166,JE439332,09/07/14 0:00,031XX W 53RD PL,1753,OFFENSE INVOLVING CHILDREN,SEXUAL ASSAULT OF CHILD BY FAMILY MEMBER,APARTMENT,FALSE,TRUE,0923,009,14,63,02,,,2014,09/14/2023 03:41:59 PM,,,
